id,start_date,name,distance,moving_time,type,average_heartrate,max_heartrate,average_speed,max_speed,total_elevation_gain,start_latlng,end_latlng,weather_icon,weather_summary,weather_temperature
594429897,2016-05-31T20:38:02Z,"Four Gorge",2.6,1557,Ride,,,6,17.2,38.4,"[37.38,-80.01]","[37.39,-79.99]",13,14,15
594622216,2016-05-31T21:13:04Z,"Tuck A Way",2.9,1457,Ride,,,7.3,19.2,20.7,"[37.39,-79.99]","[37.39,-79.99]",13,14,15
597517029,2016-06-03T21:04:59Z,"Mill Mt Priate Loop",8.2,4197,Ride,,,7.1,32.2,86.3,"[37.25,-79.95]","[37.25,-79.95]",13,14,15
601001849,2016-06-06T21:34:32Z,"Monday Night Ride ",7.1,4308,Ride,,,5.9,27.7,105.6,"[37.25,-79.95]","[37.25,-79.95]",13,14,15
602082575,2016-06-07T19:35:13Z,"Death Cove",9.3,6033,Ride,,,5.6,26.2,132.7,"[37.39,-80.01]","[37.38,-80.01]",13,14,15
605237402,2016-06-10T20:36:54Z,"Wrong turn, sure rise greenway run",11.5,4527,Ride,,,9.1,40,82.7,"[37.26,-79.94]","[37.25,-79.95]",13,14,15
611440102,2016-06-16T20:28:55Z,"Greenway Pump",12.3,3394,Ride,,,13.1,43.8,25.4,"[37.26,-79.91]","[37.26,-79.91]",13,14,15
615410858,2016-06-20T18:18:02Z,"I don't like low psi ",7.7,4192,Ride,,,6.6,24.6,85.6,"[37.38,-80.01]","[37.38,-80.01]",13,14,15
615593344,2016-06-20T21:46:57Z,"Monday Night Ride",8.3,4158,Ride,,,7.2,40.3,82.2,"[37.26,-79.94]","[37.25,-79.95]",13,14,15
622974867,2016-06-27T21:50:31Z,"Chestnut loop ",6.4,3645,Ride,,,6.4,25.3,87.3,"[37.25,-79.95]","[37.25,-79.95]",13,14,15
625941980,2016-06-30T17:57:46Z,"Tyler's derailleur is screwed",9.8,5019,Ride,,,7,42.7,102.9,"[37.26,-79.95]","[37.26,-79.95]",13,14,15
628006037,2016-07-02T20:32:04Z,"Tyler's derailleur is still fucked",10.8,5167,Ride,,,7.5,36,108.3,"[37.26,-79.95]","[37.25,-79.95]",13,14,15
